BEGINING,TEST,HERE
"(580, 432)","(675, 435)","(668.6266891891893, 589)"
"(580, 432)","(676, 434)","(653.4594594594595, 603)"
"(581, 432)","(678, 434)","(689.0472972972974, 555)"
"(580, 432)","(677, 435)","(688.9326923076924, 669)"
"(581, 431)","(674, 435)","(634.7077702702703, 552)"
"(580, 430)","(676, 432)","(636.4750337381915, 467)"
"(580, 431)","(678, 433)","(640.05, 540)"
"(582, 431)","(677, 434)","(696.2453222453222, 563)"
"(582, 431)","(681, 434)","(711.1121794871794, 612)"
"(581, 431)","(677, 433)","(654.0411605937921, 540)"
"(582, 431)","(680, 434)","(745.5763157894737, 638)"
"(581, 431)","(679, 433)","(689.5945945945947, 553)"
"(581, 430)","(677, 433)","(646.4358974358975, 562)"
"(582, 431)","(679, 432)","(691.1250000000001, 611)"
"(581, 430)","(680, 434)","(707.1824324324324, 620)"
"(581, 430)","(678, 433)","(663.9632709632709, 575)"
"(581, 431)","(678, 432)","(671.1268556005399, 589)"
"(581, 431)","(678, 435)","(663.9632709632709, 621)"
"(581, 429)","(678, 432)","(656.4017094017095, 516)"
"(582, 430)","(679, 433)","(673.1013513513514, 612)"
"(583, 429)","(677, 432)","(662.7442827442827, 516)"
"(584, 430)","(680, 433)","(682.8052668052668, 637)"
Accuarcy Avg,55.24082572557202,N/A
Accuarcy,"[55.55782720775445, 55.61793332462404, 54.988623623624186, 58.965865992422444, 52.896455101251085, 49.21642752572673, 52.5792767549249, 55.53133178612684, 57.68843388049289, 53.112706106108, 59.48038176976472, 54.93540826628503, 53.740433961631545, 57.056695753022034, 57.836691415359155, 54.86712832538411, 55.638478708453505, 56.615318062022105, 52.21830124162283, 56.55255771276728, 52.4798225287353, 57.72206691448166]",N/A
Precision,0.01863904800474244,N/A
=====,=====,=====
"(587, 427)","(685, 429)","(771.3097713097713, 596)"
"(585, 426)","(684, 430)","(736.952182952183, 545)"
"(587, 427)","(684, 429)","(722.8347953216373, 627)"
"(586, 427)","(683, 430)","(743.393918918919, 582)"
"(586, 426)","(685, 430)","(739.6513888888888, 583)"
"(586, 426)","(682, 429)","(675.5527027027028, 557)"
"(586, 425)","(686, 428)","(736.421052631579, 497)"
"(585, 426)","(685, 428)","(721.2508662508664, 570)"
"(586, 426)","(684, 429)","(709.9831309041834, 535)"
"(587, 427)","(687, 429)","(773.4054054054054, 596)"
"(587, 425)","(687, 429)","(731.6891891891892, 517)"
"(587, 426)","(686, 429)","(741.6527777777776, 631)"
"(587, 425)","(685, 429)","(732.4871794871794, 591)"
"(588, 426)","(686, 429)","(738.9729729729729, 662)"
"(588, 424)","(686, 428)","(715.9444444444445, 532)"
"(589, 426)","(686, 429)","(713.7415540540541, 670)"
"(588, 426)","(686, 428)","(689.09009009009, 573)"
"(590, 425)","(686, 429)","(722.8898128898129, 630)"
"(589, 424)","(686, 428)","(713.7415540540541, 580)"
"(588, 424)","(685, 428)","(697.7019230769231, 603)"
"(588, 424)","(686, 427)","(730.397972972973, 593)"
"(587, 425)","(686, 428)","(705.7519057519057, 630)"
Accuarcy Avg,48.28377680085423,N/A
Accuarcy,"[49.8063765801295, 45.69833786938598, 50.967658564450225, 48.39745712231162, 48.40117946524893, 45.7752633473581, 41.95580948123975, 47.226096434843726, 44.47215995246257, 49.84748168558232, 43.45898115858489, 51.43780312901126, 48.81843910827683, 53.165972146049846, 44.33465393423233, 53.35848478595546, 47.05925949203832, 51.149443943659655, 47.819211215938104, 49.19568962123314, 48.91932102018323, 50.978009560617124]",N/A
Precision,0.015159978284646793,N/A
=====,=====,=====
"(588, 424)","(687, 426)","(790.3586278586279, 592)"
"(586, 423)","(686, 426)","(763.6297297297298, 531)"
"(588, 424)","(687, 426)","(777.3026315789474, 623)"
"(587, 424)","(686, 427)","(755.5956340956341, 628)"
"(588, 424)","(688, 426)","(790.978516978517, 623)"
"(588, 424)","(686, 427)","(772.5225225225225, 628)"
"(587, 423)","(687, 426)","(747.6141891891891, 591)"
"(587, 423)","(688, 426)","(769.6314102564102, 591)"
"(589, 423)","(688, 426)","(778.5219298245614, 665)"
"(590, 423)","(689, 427)","(792.8381843381843, 627)"
"(589, 423)","(688, 426)","(769.4743589743589, 617)"
"(590, 421)","(689, 426)","(792.8381843381843, 587)"
"(590, 422)","(687, 425)","(757.0848925848926, 616)"
"(589, 422)","(687, 425)","(733.4273504273503, 625)"
"(589, 421)","(689, 423)","(783.2067567567568, 563)"
"(589, 421)","(690, 425)","(781.8987854251012, 624)"
"(588, 420)","(689, 423)","(788.5379129129129, 533)"
"(588, 420)","(690, 422)","(817.7472972972972, 526)"
"(590, 421)","(688, 423)","(781.9114864864865, 566)"
"(588, 422)","(688, 423)","(774.6195426195427, 598)"
"(588, 421)","(688, 423)","(783.6600284495021, 618)"
"(588, 422)","(688, 423)","(795.6345029239766, 614)"
Accuarcy Avg,51.06189711958773,N/A
