 BEGINING,TEST,HERE
"(577, 407)","(673, 407)","(703.9555972482802, 521)"
"(577, 407)","(674, 408)","(720.5572232645404, 564)"
"(577, 406)","(674, 408)","(690.5190789473684, 532)"
"(577, 407)","(674, 408)","(728.948076923077, 544)"
"(577, 406)","(674, 409)","(697.2721153846154, 541)"
"(576, 406)","(674, 408)","(688.7116948092558, 553)"
"(577, 407)","(673, 408)","(689.9671052631578, 587)"
"(577, 407)","(674, 408)","(665.5961538461538, 544)"
"(578, 406)","(675, 408)","(698.386858974359, 512)"
"(578, 407)","(674, 408)","(697.4282051282051, 532)"
"(577, 407)","(674, 409)","(690.5190789473684, 513)"
"(578, 407)","(675, 408)","(705.6450906816762, 512)"
"(578, 407)","(675, 408)","(705.6450906816762, 523)"
"(577, 406)","(674, 408)","(697.2721153846154, 512)"
"(578, 407)","(675, 408)","(714.0493589743589, 501)"
"(578, 407)","(676, 408)","(715.0211538461538, 544)"
"(577, 407)","(674, 409)","(697.2721153846154, 533)"
"(577, 407)","(674, 408)","(697.2721153846154, 483)"
"(576, 407)","(672, 408)","(671.609756097561, 522)"
"(575, 407)","(672, 408)","(662.2786585365855, 501)"
"(575, 407)","(673, 407)","(680.0000000000001, 514)"
Accuarcy Avg,43.684066888322164,N/A
Accuarcy,"[43.75101826315371, 45.97005752355958, 43.61392359236194, 45.585107906806314, 44.22892157094472, 44.35556415627854, 45.71779355851868, 43.09797426238207, 43.181016630837384, 43.89429196402359, 42.883153142658024, 43.49058218335437, 43.895102620477246, 43.13341964084676, 43.45572677718263, 45.03981613181261, 43.9258124349881, 42.05286089222314, 42.440319643250916, 41.179299266994676, 42.473642492110336]",N/A
Precision,0.04031701701485373,N/A
=====,=====,=====
"(575, 408)","(673, 408)","(711.5999999999999, 515)"
"(576, 407)","(673, 408)","(718.6241400875548, 470)"
"(577, 407)","(675, 409)","(736.4015009380863, 513)"
"(575, 408)","(672, 409)","(733.4606003752345, 545)"
"(576, 408)","(672, 409)","(726.8, 525)"
"(576, 407)","(673, 409)","(734.6369606003753, 513)"
"(576, 407)","(673, 409)","(718.6241400875548, 513)"
"(578, 408)","(675, 409)","(745.7759615384615, 545)"
"(576, 407)","(675, 408)","(726.5716463414634, 501)"
"(577, 407)","(674, 409)","(735.813320825516, 513)"
"(578, 407)","(675, 409)","(714.0493589743589, 513)"
"(577, 407)","(676, 409)","(721.7091932457787, 513)"
"(577, 407)","(675, 407)","(736.4015009380863, 453)"
"(578, 407)","(676, 409)","(730.696153846154, 554)"
"(579, 407)","(677, 408)","(731.8615384615385, 483)"
"(578, 407)","(676, 409)","(730.696153846154, 554)"
"(578, 407)","(677, 408)","(738.9509068167605, 483)"
"(578, 406)","(677, 409)","(747.3685897435898, 532)"
"(578, 407)","(676, 409)","(762.448076923077, 534)"
"(577, 407)","(675, 408)","(729.5307692307692, 522)"
"(579, 407)","(676, 408)","(737.3124999999999, 483)"
"(578, 407)","(677, 409)","(731.6810897435898, 534)"
Accuarcy Avg,32.83545274803435,N/A
Accuarcy,"[32.563368351927565, 29.25525419729352, 32.87388350974553, 35.08424347804067, 33.5526244970278, 32.83721164415098, 32.53224323487556, 35.315482911133344, 31.790748351004634, 32.861593399635, 32.45456920589026, 32.587030659402465, 28.35736585072231, 35.65697520823597, 30.551412714478595, 35.65697520823597, 30.719773378005904, 34.45251423478138, 34.92683573151045, 33.38710902637161, 30.679907466868038, 34.28283819741813]",N/A
Precision,0.023029064750537218,N/A
=====,=====,=====
"(588, 406)","(686, 408)","(781.2113821138212, 532)"
"(588, 406)","(687, 407)","(804.4642857142857, 513)"
"(588, 405)","(686, 408)","(772.3333333333334, 511)"
"(587, 406)","(685, 408)","(758.4646983311939, 532)"
"(586, 405)","(684, 407)","(788.0512820512821, 481)"
"(587, 405)","(685, 407)","(779.984990619137, 481)"
"(587, 405)","(686, 408)","(822.553846153846, 511)"
"(588, 405)","(686, 407)","(791.956996148909, 481)"
"(588, 405)","(686, 407)","(781.2113821138212, 481)"
"(588, 405)","(685, 408)","(783.8999999999999, 511)"
"(588, 406)","(686, 408)","(802.4646341463415, 543)"
"(589, 405)","(688, 407)","(799.4227642276422, 499)"
"(589, 405)","(687, 408)","(782.4377736085054, 511)"
"(589, 405)","(688, 407)","(767.4777986241401, 502)"
"(589, 405)","(687, 407)","(788.7362637362638, 481)"
"(589, 405)","(688, 407)","(825.1384615384615, 481)"
"(590, 405)","(689, 407)","(811.8940949935815, 481)"
"(590, 406)","(687, 408)","(786.3631578947368, 543)"
"(590, 405)","(688, 408)","(767.2795497185742, 542)"
"(590, 405)","(689, 407)","(779.4675866495508, 513)"
"(590, 406)","(689, 408)","(784.2773608505316, 543)"
Accuarcy Avg,34.60769429019881,N/A
Accuarcy,"[36.353376023151164, 34.41777691063435, 35.34971544100166, 37.095024055793225, 32.872265625361756, 33.17794349779083, 33.748836701881736, 32.727314675750115, 33.13093636237126, 34.95199187795848, 36.416166735840726, 33.65519089461926, 35.00140312986966, 34.96888145653464, 32.846696332480015, 31.586744943440323, 32.02131895455782, 36.875573195018, 37.399101055134125, 35.22798052890748, 36.93734169607841]",N/A
Precision,0.027367888713772433,N/A
=====,=====,=====
"(590, 405)","(688, 408)","(810.0288831835687, 464)"
"(591, 405)","(689, 407)","(848.9305816135084, 481)"
"(589, 405)","(689, 407)","(816.4333958724202, 542)"
"(589, 405)","(688, 407)","(831.3677298311444, 481)"
"(590, 405)","(688, 408)","(836.5445121951219, 511)"
