BEGINING,TEST,HERE
"(563, 377)","(660, 375)","(728, 419)"
"(562, 377)","(659, 376)","(711, 469)"
"(561, 377)","(660, 377)","(735, 480)"
"(559, 377)","(660, 377)","(770, 523)"
"(559, 377)","(659, 376)","(752, 469)"
"(560, 377)","(659, 376)","(726, 469)"
"(559, 377)","(659, 376)","(743, 458)"
"(560, 377)","(659, 376)","(719, 456)"
"(560, 378)","(660, 377)","(728, 490)"
"(559, 377)","(659, 376)","(707, 469)"
"(559, 377)","(659, 376)","(735, 490)"
"(561, 376)","(660, 376)","(767, 450)"
"(560, 377)","(659, 376)","(746, 490)"
"(559, 378)","(659, 377)","(737, 490)"
"(559, 376)","(658, 377)","(726, 501)"
"(558, 377)","(658, 376)","(737, 450)"
"(557, 377)","(658, 376)","(735, 469)"
"(558, 377)","(657, 376)","(746, 469)"
"(558, 377)","(657, 376)","(726, 490)"
"(558, 376)","(658, 375)","(761, 436)"
"(557, 377)","(658, 376)","(743, 469)"
Accuarcy Avg,82.8288427761818,N/A
Accuarcy,"[82.29185185940092, 82.50127526197454, 82.87607286898755, 83.54665931893616, 82.98022049134514, 82.68197685900346, 82.79384513569251, 82.48515179541505, 82.88062603331254, 82.45199877185783, 82.95669209163944, 83.01297055781254, 83.07389627384677, 82.9782130048723, 82.95086410886942, 82.65901854617303, 82.78733803275323, 82.91304987096909, 82.85867999629485, 82.84620156550594, 82.87909585515578]",N/A
Precision,0.18373690633105716,N/A
=====,=====,=====
"(557, 374)","(657, 377)","(689, 512)"
"(557, 372)","(658, 376)","(713, 460)"
"(559, 374)","(657, 377)","(704, 500)"
"(558, 374)","(657, 376)","(728, 495)"
"(558, 374)","(658, 375)","(689, 480)"
"(557, 372)","(658, 375)","(704, 465)"
"(558, 373)","(660, 377)","(754, 504)"
"(558, 372)","(658, 375)","(705, 450)"
"(558, 373)","(658, 376)","(738, 517)"
"(559, 373)","(660, 375)","(760, 459)"
"(559, 373)","(657, 375)","(731, 495)"
"(559, 373)","(658, 375)","(745, 479)"
"(560, 373)","(657, 376)","(747, 517)"
"(558, 371)","(655, 375)","(689, 472)"
"(557, 371)","(655, 376)","(680, 495)"
"(556, 373)","(656, 376)","(705, 517)"
"(558, 373)","(659, 376)","(787, 517)"
"(556, 373)","(655, 375)","(714, 509)"
"(556, 373)","(656, 374)","(738, 450)"
"(556, 372)","(655, 375)","(714, 472)"
"(556, 373)","(658, 374)","(776, 444)"
Accuarcy Avg,78.58725076057964,N/A
Accuarcy,"[79.20303988183508, 77.52821625363075, 78.90419671686361, 78.92814835507798, 78.11040448396653, 77.6415108131853, 79.44493440535838, 77.02258641472432, 79.66527749207837, 78.10039091434956, 78.95515367416526, 78.58234467508785, 79.74018858004, 77.80283933827774, 78.60436666901812, 79.4371418104128, 80.12539667650016, 79.25379243390343, 77.43888566931514, 78.00520208577011, 77.83824862861152]",N/A
Precision,0.05587357102579507,N/A
=====,=====,=====
"(572, 371)","(673, 372)","(774, 423)"
"(572, 370)","(675, 372)","(782, 385)"
"(573, 369)","(674, 371)","(773, 397)"
"(573, 371)","(672, 372)","(787, 423)"
"(572, 371)","(673, 373)","(757, 421)"
"(573, 371)","(677, 372)","(795, 437)"
"(573, 370)","(673, 373)","(771, 411)"
"(573, 370)","(673, 371)","(771, 373)"
"(573, 370)","(674, 372)","(787, 371)"
"(573, 370)","(675, 372)","(784, 385)"
"(573, 370)","(676, 370)","(787, 360)"
"(574, 370)","(675, 372)","(768, 397)"
"(575, 371)","(677, 373)","(804, 437)"
"(574, 370)","(676, 372)","(787, 411)"
"(575, 369)","(675, 372)","(804, 384)"
"(575, 370)","(676, 372)","(794, 437)"
"(575, 370)","(675, 372)","(804, 421)"
"(574, 370)","(675, 372)","(787, 411)"
"(574, 370)","(675, 372)","(798, 447)"
"(574, 370)","(676, 372)","(815, 437)"
"(575, 369)","(677, 372)","(798, 411)"
Accuarcy Avg,77.39829622752231,N/A
Accuarcy,"[78.1874070297066, 76.73567515577602, 77.40588205960577, 77.89049178212964, 78.5189392186346, 78.1645991956227, 77.89735403790375, 76.6710629772772, 76.05279670822016, 76.67379236896605, 75.62179500559118, 77.54434576509959, 77.98235303683381, 77.49642266306428, 76.00634932885217, 78.18495430505618, 77.4324681192514, 77.49642266306428, 78.41875800205082, 77.7627595169736, 77.21959183828876]",N/A
Precision,0.059256278766838845,N/A
=====,=====,=====
"(574, 368)","(677, 370)","(837, 443)"
"(575, 368)","(678, 372)","(865, 470)"
"(575, 368)","(678, 371)","(858, 461)"
"(573, 368)","(675, 370)","(798, 427)"
"(575, 368)","(677, 370)","(855, 437)"
"(575, 367)","(677, 369)","(858, 415)"
"(575, 367)","(677, 370)","(843, 427)"
"(574, 367)","(678, 369)","(865, 443)"
"(574, 367)","(675, 369)","(815, 443)"
"(574, 367)","(675, 369)","(805, 411)"
"(574, 367)","(675, 370)","(815, 411)"
"(574, 367)","(675, 369)","(825, 427)"
"(573, 367)","(675, 369)","(825, 437)"
"(573, 367)","(675, 370)","(808, 443)"
"(574, 367)","(675, 369)","(825, 411)"
"(572, 367)","(675, 370)","(837, 470)"
"(573, 368)","(675, 370)","(836, 452)"
"(573, 368)","(675, 369)","(832, 454)"
"(572, 367)","(676, 370)","(820, 437)"
"(574, 366)","(674, 369)","(827, 385)"
"(573, 367)","(675, 370)","(849, 470)"
Accuarcy Avg,82.92242491132582,N/A
Accuarcy,"[82.91861557330245, 82.79540310897566, 82.805394580119, 83.26073045767728, 82.65732622411001, 82.45230257819297, 82.73418227780228, 82.57834330835803, 83.16851186212142, 83.09125118259138, 82.97301901588743, 82.95290815090746, 83.01759554378059, 83.24496852458762, 82.8512198023821, 83.1079041838646, 82.99272839133687, 83.05159973024563, 83.07479800280262, 82.66555608929362, 82.97656454950307]",N/A
Precision,0.2240887008055825,N/A
=====,=====,=====
"(562, 375)","(664, 377)","(905, 461)"
"(562, 376)","(664, 377)","(875, 452)"
"(563, 376)","(664, 377)","(886, 452)"
"(562, 375)","(664, 377)","(909, 427)"
"(562, 376)","(664, 376)","(875, 470)"
"(563, 375)","(665, 376)","(905, 470)"
"(563, 374)","(665, 376)","(882, 480)"
"(563, 374)","(664, 376)","(905, 427)"
"(563, 375)","(664, 376)","(892, 471)"
"(563, 374)","(663, 375)","(881, 427)"
"(561, 374)","(664, 375)","(882, 427)"
"(562, 375)","(664, 376)","(871, 470)"
"(562, 374)","(665, 376)","(899, 470)"
"(562, 374)","(663, 375)","(865, 443)"
"(563, 373)","(664, 375)","(888, 427)"
"(562, 374)","(664, 376)","(909, 461)"
"(562, 374)","(664, 376)","(902, 427)"
"(562, 374)","(664, 376)","(882, 461)"
"(563, 374)","(663, 375)","(892, 452)"
"(562, 373)","(664, 376)","(899, 433)"
"(562, 374)","(663, 375)","(871, 431)"
Accuarcy Avg,85.18652464208901,N/A
Accuarcy,"[85.12035681507922, 85.27520963050914, 85.211876366053, 85.01556139982713, 85.31439228662367, 85.14240928746507, 85.29823911401336, 85.04089619651019, 85.22068928651366, 85.18798286504718, 85.18201785126834, 85.33648293722352, 85.17772028803563, 85.31312560362579, 85.14593450907235, 85.09622633520146, 85.05973995396754, 85.2549838807306, 85.17666496235121, 85.09169486677465, 85.25481304797687]",N/A
Precision,0.5169408077674114,N/A
=====,=====,=====
"(569, 371)","(668, 373)","(719, 576)"
"(570, 370)","(669, 372)","(746, 523)"
"(570, 370)","(668, 372)","(737, 576)"
"(566, 371)","(667, 372)","(709, 523)"
"(566, 371)","(666, 372)","(726, 517)"
"(568, 371)","(667, 372)","(726, 540)"
"(569, 371)","(667, 372)","(768, 490)"
"(568, 370)","(666, 371)","(727, 490)"
"(567, 370)","(666, 372)","(728, 501)"
"(568, 370)","(666, 372)","(726, 523)"
"(567, 371)","(666, 373)","(719, 576)"
"(567, 371)","(668, 372)","(743, 523)"
"(568, 371)","(668, 373)","(761, 523)"
"(567, 371)","(666, 372)","(719, 490)"
"(569, 371)","(666, 372)","(743, 490)"
"(568, 371)","(667, 372)","(735, 490)"
"(568, 371)","(669, 372)","(761, 490)"
"(569, 371)","(668, 372)","(741, 490)"
"(568, 371)","(667, 372)","(726, 490)"
"(568, 371)","(668, 372)","(741, 471)"
"(569, 371)","(668, 373)","(764, 523)"
Accuarcy Avg,81.81232273640607,N/A
Accuarcy,"[81.97095497619979, 82.01273939551895, 82.23955196233757, 81.37167772644781, 81.63598483629856, 81.79969705759433, 82.18792853113966, 81.48085860753581, 81.56681546336976, 81.67745011732974, 81.97095497619979, 81.96403629620443, 82.24831370222518, 81.32862402465506, 81.77069289862767, 81.62814087228995, 82.07521014704308, 81.73548666347948, 81.46210480420504, 81.63765971252631, 82.29389469329999]",N/A
Precision,0.16399177895592912,N/A
=====,=====,=====
"(569, 369)","(667, 374)","(738, 548)"
"(568, 369)","(667, 373)","(715, 495)"
"(569, 370)","(669, 373)","(754, 514)"
"(568, 369)","(667, 373)","(748, 514)"
"(568, 369)","(668, 372)","(738, 506)"
"(569, 368)","(669, 371)","(741, 462)"
"(569, 368)","(667, 371)","(733, 421)"
"(568, 368)","(668, 371)","(757, 437)"
"(571, 368)","(671, 371)","(766, 452)"
"(568, 370)","(668, 371)","(757, 454)"
"(569, 369)","(668, 373)","(757, 526)"
"(568, 369)","(667, 370)","(757, 437)"
"(568, 370)","(668, 372)","(774, 447)"
"(568, 370)","(666, 371)","(741, 454)"
"(567, 370)","(668, 372)","(765, 480)"
"(567, 371)","(666, 372)","(724, 488)"
"(568, 370)","(668, 372)","(774, 480)"
"(567, 369)","(665, 374)","(717, 504)"
"(567, 369)","(665, 373)","(731, 478)"
"(567, 370)","(668, 371)","(780, 491)"
"(567, 369)","(668, 371)","(774, 461)"
Accuarcy Avg,68.2971182921343,N/A
Accuarcy,"[73.20233359181476, 67.49013466148935, 71.52951172400287, 71.20901036859135, 70.00023900639006, 65.97005729957029, 60.08243644630817, 65.44277076453622, 67.69544824713034, 66.90515416061255, 72.50862398156436, 65.44277076453622, 68.16959148096251, 65.11561306890222, 69.72827539451366, 67.31390406145998, 70.41458232695857, 68.59826700430918, 66.75688764287808, 71.54099098516582, 69.12288115312342]",N/A
Precision,0.015954599978733417,N/A
=====,=====,=====
"(571, 370)","(673, 373)","(815, 452)"
"(572, 370)","(672, 372)","(808, 454)"
"(572, 370)","(672, 372)","(802, 437)"
"(572, 371)","(673, 373)","(815, 470)"
"(572, 370)","(673, 372)","(798, 452)"
"(572, 370)","(673, 372)","(791, 427)"
"(572, 370)","(674, 373)","(813, 427)"
"(572, 371)","(673, 373)","(804, 437)"
"(571, 371)","(672, 374)","(804, 462)"
"(572, 371)","(672, 373)","(787, 437)"
"(571, 372)","(670, 373)","(791, 454)"
"(570, 370)","(670, 372)","(797, 427)"
"(570, 371)","(670, 373)","(791, 427)"
"(571, 371)","(670, 373)","(791, 470)"
"(571, 370)","(671, 373)","(786, 443)"
"(570, 371)","(672, 374)","(820, 489)"
"(571, 371)","(672, 374)","(817, 489)"
"(570, 372)","(671, 374)","(791, 470)"
"(569, 371)","(671, 374)","(803, 489)"
"(569, 371)","(670, 373)","(791, 461)"
"(571, 371)","(672, 373)","(825, 470)"
Accuarcy Avg,70.89551820056556,N/A
